ConsoleName,GameName,userscore
PC,Wild West Online,0.2
XONE,Ghostbusters,0.4
XBOX,Charlie and the Chocolate Factory,0.4
PS3,Power Gig: Rise of the SixString,0.5
WII,Pool Party,0.5
XBOX,Wallace & Gromit: Curse of the Were-Rabbit,0.7
PSP,Thrillville: Off the Rails,0.8
XONE,Star Wars Battlefront II,0.9
PSP,Dragon Ball: Evolution,0.9
PS3,NBA Unrivaled,0.9
