ConsoleName,GameName,userscore
PS,Final Fantasy Chronicles,9.4
PC,The Witcher 3: Wild Hunt,9.3
PS4,Bloodborne: The Old Hunters,9.3
GBA,Final Fantasy VI Advance,9.3
GC,Resident Evil 4,9.3
GC,Resident Evil,9.3
PS,The Legend of Dragoon,9.3
PS,Final Fantasy IX,9.2
PC,Portal,9.2
DS,Chrono Trigger,9.2
